context,question,answer,url
"(ĐTCK) ABS said that the high probability of the market will continue to adjust the second rhythm, complete the medium -term adjustment structure with a total amplitude of 160 (+/-) points from the peak area in the next 8-9 weeksaccording to. The latest ABS report said that the market undergo adjustment from the beginning of April with a standard amplitude of 120 points to 1,166 points.The adjustment takes place in most stock groups with an average discount of approximately 15%.The quick adjustment of the average MA200 -day sliding road, then the market recovery process is 3.7% from the bottom to",What is the total amplitude expected for the market adjustment according to ABS?,160 (+/-) points.,https://www.tinnhanhchungkhoan.vn/abs-xac-suat-cao-thi-truong-se-tiep-tuc-dieu-chinh-nhip-thu-2-post344949.html
"(ĐTCK) Investors also return to a state of caution after the early minutes when the cash flow did not find many reasons to buy stronger. Yesterday session, the pressure of profit early caused VN-Index to decrease more than 13 points, but thanks to the prosperity of the oil and gas group helped block the momentum and recover, sometimes returning to reference. The general supply balance of the market then is quite balanced, so VN-Index only fluctuates in the narrow amplitude.At the end of the session, Luc Cau gradually overcome the advantage and helped VN-Index escape in the ATC. Entering the",What helped VN-Index recover during the session?,The prosperity of the oil and gas group.,https://www.tinnhanhchungkhoan.vn/giao-dich-chung-khoan-phien-sang-95-dong-tien-cham-lai-vn-index-ha-nhiet-post344872.html
"In the resolution that has just been announced, ACV said that he had signed a credit document with Vietcombank as a focal bank and a collateral management agent, and at the same time signed with VietinBank and BIDV (loan banks.Capital) to fund the above project. Accordingly, ACV is expected to borrow a total of US $ 1.8 billion over 20 years.The security measure is the property formed from the project (the items are allowed to mortgage) even if these assets are available or will form in the future. Long Thanh Airport is a key project that the Government is interested",Which banks is ACV borrowing from for the Long Thanh Airport project?,"Vietcombank, VietinBank, and BIDV.",https://cafef.vn/acv-se-vay-18-ty-usd-de-dau-tu-du-an-san-bay-long-thanh-188240509103342706.chn
"PYN Elite Fund has just released a report in April with a negative investment of 8.2% due to the influence of a bank stock group and the weakness of VND.This result has terminated the 5 -month series to record the fund's continuous positive performance.In April, VN-Index also took 8.5% but later recovered and ended the month with a decrease of 5.8%. According to PYN Elite Fund, VND has lost 2.1% compared to USD in April, raising concerns about increasing interest rates.However, the fund said that the depreciation level is suitable for the monetary area and reflects the recent recovery of",What was the percentage decrease in PYN Elite Fund's investment in April?,8.2%.,https://cafef.vn/dut-chuoi-5-thang-tang-truong-quy-ngoai-quy-mo-20000-ty-van-tu-tin-voi-loat-co-phieu-hot-trong-danh-muc-bao-gom-fpt-cmg-188240509143559152.chn
"ACV will borrow $ 1.8 billion to invest in Long Thanh airport project Vietnam Airport Corporation (UPCoM: ACV) is expected to borrow US $ 1.8 billion from three state -owned banks, Vietcombank, Vietinbank and BIDV to finance Long Thanh Airport Project. In the resolution that has just been announced, ACV said that he had signed a credit document with Vietcombank as a focal bank and a collateral asset management, and signed it with VietinBank and BIDV (loan banks.Capital) to fund the above project. Accordingly, ACV is expected to borrow a total of US $ 1.8 billion over 20 years.The security",How much is ACV borrowing to invest in the Long Thanh Airport project?,$1.8 billion.,https://vietstock.vn/2024/05/acv-se-vay-18-ty-do-de-dau-tu-du-an-san-bay-long-thanh-737-1188310.htm
"(ĐTCK) Notable securities events information on 11/5 on listed businesses on the stock market. * HPG: On 24/5, Hoa Phat Group Joint Stock Company (HPG - HOSE) will close the list of shareholders to issue shares to increase capital from equity.Accordingly, HPG will issue more than 581.47 million shares in a 10: 1 ratio. * ADP: May 17 is the day of non -beneficiary transaction to receive additional dividends in 2023 of Son Dong A JSC (ADP - HOSE), the last registration date is May 20.Accordingly, dividends will be paid in cash at 9.5%, payment starts from June 6, 2024.",On what date will Hoa Phat Group (HPG) close the list of shareholders to issue shares to increase capital?,May 24.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-115-post344991.html
"(ĐTCK) Notable securities events information on 11/5 on listed businesses on the stock market. * HPG: On 24/5, Hoa Phat Group Joint Stock Company (HPG - HOSE) will close the list of shareholders to issue shares to increase capital from equity.Accordingly, HPG will issue more than 581.47 million shares in a 10: 1 ratio. * ADP: May 17 is the day of non -beneficiary transaction to receive additional dividends in 2023 of Son Dong A JSC (ADP - HOSE), the last registration date is May 20.Accordingly, dividends will be paid in cash at 9.5%, payment starts from June 6, 2024.",On what date will Hoa Phat Group (HPG) close the list of shareholders to issue shares to increase capital?,May 24.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-95-post344831.html
"(ĐTCK) Notable securities policy information on May 10 on listed businesses on the stock market. * ADS: Mr. Vu Huy Duc, General Director of Damsan JSC (ADS - HOSE) sold more than 1.99 million ADS shares from April 12 to May 8 by the method of agreement and matching.After the transaction, Mr. Duc reduced its ownership at ADS to more than 1.38 million shares, 1.89%. * RDP: Mr. Ho Duc Lam, Chairman of the Board of Directors of Rang Dong Holding JSC (RDP - HOSE) sold 3.2 million RDP shares from April 25 to May 8 by the method of",How many RDP shares did Mr. Ho Duc Lam sell from April 25 to May 8?,3.2 million shares.,https://www.tinnhanhchungkhoan.vn/su-kien-chung-khoan-dang-chu-y-ngay-105-post344912.html
"Chairman Nguyen Ba Sang wants to divest a large amount of AGG capital before the General Meeting of Shareholders Truong Giang management and investment registered to sell more than 21 million AGG shares, reducing the ownership rate from 41.04% to 24.06%. Chairman of the Board of Directors An Gia Mr. Nguyen Ba Sang.Source: An Gia Accordingly, this major shareholder is trying to sell a large number of shares of An Gia Real Estate Investment and Development JSC (HOSE: AGG) by the method of agreement to structure the portfolio.Expected from May 13 to June 10, 2024. Truong Giang Investment and Investment",How many AGG shares did Truong Giang management and investment register to sell?,More than 21 million shares.,https://vietstock.vn/2024/05/cong-ty-chu-tich-nguyen-ba-sang-muon-thoai-luong-lon-von-agg-truoc-them-dhdcd-739-1188586.htm
"Do Van Truong, General Director of Mopha Joint Stock Company was wanted by the Ministry of Public Security for fleeing after being prosecuted in the case occurred at AIC Company, Ho Chi Minh City Biotechnology Center. The accused Do Van Truong fled after being prosecuted related to bidding violations occurred at AIC Company, Ho Chi Minh City Biotechnology Center. Recently, the Investigation Police Department of the Ministry of Public Security issued a wanted decision against accused Do Van Truong (born in 1980), General Director of Mopha Joint Stock Company. Earlier, on April 23, 2024, suspect Do Van Truong was prosecuted",Who is Do Van Truong?,General Director of Mopha Joint Stock Company.,https://www.tinnhanhchungkhoan.vn/truy-na-tong-giam-doc-cong-ty-mopha-do-van-truong-lien-quan-vi-pham-cua-aic-post344987.html
